URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,20,5,0.599999976,0.117370891,14.2,0.314553991,5.805821596,14.2,67,213,2.150234742,0,0.046948357
2,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,19,9,0.357142844,0.138613861,4.697674419,0.252475248,1.980059866,4.697674419,51,202,1.98019802,0,0.04950495
3,https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,48,22,0.371428566,0.12867647,7.253333333,0.336397059,3.035892157,7.253333333,183,544,2.181985294,0,0.018382353
4,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,36,14,0.439999991,0.098814229,10.12,0.328063241,4.179225296,10.12,166,506,2.162055336,0,0.019762846
5,https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,44,26,0.257142853,0.131086142,8.754098361,0.344569288,3.63946706,8.754098361,184,534,2.176029963,0,0.018726592
6,https://insights.blackcoffer.com/the-future-of-telehealth-services/,43,29,0.194444442,0.130434782,8.492307692,0.356884058,3.5396767,8.492307692,197,552,2.240942029,0,0.018115942
7,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,17,18,-0.028571428,0.102339181,21.375,0.286549708,8.664619883,21.375,98,342,2.014619883,0,0.029239766
8,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,20,4,0.666666639,0.106666666,9.375,0.271111111,3.858444444,9.375,61,225,1.968888889,0,0.044444444
9,https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,39,8,0.659574454,0.112171837,11.32432432,0.343675418,4.667199897,11.32432432,144,419,2.217183771,0,0.023866348
10,https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,29,23,0.115384613,0.100192678,9.105263158,0.329479769,3.773897171,9.105263158,171,519,2.188824663,0,0.019267823
11,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,29,8,0.567567552,0.088942307,10.4,0.28125,4.2725,10.4,117,416,2.067307692,0,0.024038462
12,https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,31,17,0.291666661,0.096385542,7.904761905,0.301204819,3.28238669,7.904761905,150,498,2.064257028,0,0.020080321
13,https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,20,13,0.212121206,0.097633136,6.5,0.266272189,2.706508876,6.5,90,338,2.044378698,0,0.029585799
14,https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,6,8,-0.142857133,0.052044609,9.275862069,0.278810409,3.821868991,9.275862069,75,269,2.089219331,0,0.037174721
15,https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,33,9,0.571428558,0.082677165,8.327868852,0.287401575,3.446108171,8.327868852,146,508,2.061023622,0,0.019685039
16,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,13,27,-0.349999991,0.167364016,14.05882353,0.259414226,5.727295102,14.05882353,62,239,2.025104603,0,0.041841004
17,https://insights.blackcoffer.com/what-is-the-limitation-of-e-learning-classes/,21,50,-0.408450698,0.136538461,7.027027027,0.325,2.940810811,7.027027027,169,520,2.148076923,0,0.019230769
